trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,repeat_index,phase_mode,kp,ki,kd,desired_output,frequency_khz,test_invalid,test_note,strict_bad_rate,oscillation_rate,failure_categories,repeat_score_regression_pct,repeat_cancellation_decision,start_error,track_error,deviation,max_error,overshoot_pct,settling_time_s,rise_time_s,steady_state_error,iae,ise,itae,peak_value,peak_time_s,time_in_tolerance_s,time_to_first_tolerance_s,post_settle_variance,early_slope,oscillation_count,area_above_target,area_below_target,trace_duration_s,hold_duration_s,hold_mean_error,hold_variance,hold_drift,hold_time_in_tolerance_ratio,hold_oscillation_count,hold_quality,early_mean_error,early_max_error
8,bootstrap,8,8,0,0,1,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,1,no samples collected,1.0,1.0,high_oscillation|invalid_repeat,0.0,,999.0,999.0,999.0,999.0,100.0,nan,nan,999.0,999.0,999.0,999.0,nan,nan,0.0,nan,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,0.0,0.0,999.0,,
8,bootstrap,8,8,0,0,2,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,0,,0.0,0.0,,0.0,,1.670000000000016,2.2138461538461547,0.8315219761642969,4.0,0.0,0.0,nan,-2.296666666666681,25.35150000000001,64.41442500000001,155.0817000000001,399.67,1.5,11.7,0.0,0.6914287968441776,-0.18333333333332452,0.0,0.0,25.35150000000001,11.4,3.9000000000000012,-2.3846153846153584,0.5773786982248464,0.20047619047625176,1.0,0.0,2.243567306279384,1.7142857142857142,3.329999999999984
8,bootstrap,8,8,0,0,3,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,0,,0.17857142857142858,0.0,,0.0,,11.329999999999984,4.119230769230767,2.0197834164359434,11.329999999999984,0.0,0.0,nan,-2.9255555555555475,46.244999999999976,226.58309999999972,216.58859999999993,398.67,10.799999999999999,11.7,0.0,4.079525049309652,2.9611111111111024,0.0,0.0,46.244999999999976,11.4,3.9000000000000012,-2.7946153846153834,0.8285940828402314,0.1354761904761972,1.0,0.0,2.601900826693416,6.855714285714279,11.329999999999984
9,bootstrap,9,9,0,0,1,warmup,0.36961875,0.031625000000000014,0.05,400.0,10,0,did not settle,1.0,1.0,high_oscillation,0.0,,19.329999999999984,20.4274358974359,20.829992202301206,32.0,5.917500000000004,nan,0.0,-7.0744444444444525,231.85200000000003,5378.25642,1485.6912000000004,423.67,10.5,4.800000000000001,0.0,20.829992202301206,-2.2222222222222223,24.0,82.10100000000001,149.751,11.4,3.9000000000000012,-6.385384615384623,630.2116556213017,3.188809523809482,0.15384615384615416,12.0,235.76761962516287,14.045714285714277,23.329999999999984
9,bootstrap,9,9,0,0,2,warmup,0.36961875,0.031625000000000014,0.05,400.0,10,0,,0.32142857142857145,0.0,,0.0,,29.329999999999984,5.572307692307691,6.379864445931038,29.329999999999984,0.417500000000004,0.8999999999999999,0.0,-1.1099999999999568,60.59699999999998,686.0847299999997,202.99769999999978,401.67,0.3,11.100000000000001,0.3,17.24557469135803,9.444444444444445,0.0,1.101000000000005,59.49599999999999,11.4,3.9000000000000012,-1.3323076923076655,2.4442792899408277,1.0326190476190504,1.0,0.0,2.168172463318532,13.524285714285716,29.329999999999984
9,bootstrap,9,9,0,0,3,warmup,0.36961875,0.031625000000000014,0.05,400.0,10,0,,0.10714285714285714,0.0,,-95.32923775417261,,16.670000000000016,3.5643589743589756,4.050152179347237,16.670000000000016,0.16750000000000398,0.0,0.0,-0.9644444444444957,39.003000000000014,290.18808000000035,138.58289999999994,400.67,0.3,11.7,0.0,16.403732675871172,4.816666666666676,0.0,0.6,38.40300000000002,11.4,3.9000000000000012,-1.1038461538461775,0.5523005917159701,0.42928571428575424,1.0,0.0,1.36045140260831,8.288571428571442,16.670000000000016
10,bootstrap,10,10,0,0,1,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,1,no samples collected,1.0,1.0,high_oscillation|invalid_repeat,0.0,,999.0,999.0,999.0,999.0,100.0,nan,nan,999.0,999.0,999.0,999.0,nan,nan,0.0,nan,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,0.0,0.0,999.0,,
10,bootstrap,10,10,0,0,2,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,0,,0.03571428571428571,0.0,,0.0,,2.0,2.0423076923076904,1.0948140259785197,4.329999999999984,0.0,0.0,10.499999999999998,-1.7777777777777715,23.39549999999998,61.95943499999998,137.84670000000003,400.0,10.799999999999999,11.7,0.0,1.1986177514792948,0.9277777777777867,0.0,0.0,23.39549999999998,11.4,3.9000000000000012,-1.8976923076922958,1.133986982248517,0.7069047619048092,1.0,0.0,2.220802640840372,1.6171428571428481,3.0
10,bootstrap,10,10,0,0,3,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,0,,0.07142857142857142,0.0,,0.0,,8.670000000000016,3.6666666666666665,1.6501597954220517,8.670000000000016,0.0,0.0,nan,-2.444444444444457,41.2995,177.28408499999995,189.8829000000001,398.67,10.2,11.7,0.0,2.7230273504273472,1.6666666666666667,0.0,0.0,41.2995,11.4,3.9000000000000012,-2.410769230769233,0.6350378698224848,0.14071428571423894,1.0,0.0,2.2592910971253435,6.332857142857141,8.670000000000016
11,bootstrap,11,11,0,0,1,warmup,0.36961875,0.031625000000000014,0.05,400.0,10,1,no samples collected,1.0,1.0,high_oscillation|invalid_repeat,0.0,,999.0,999.0,999.0,999.0,100.0,nan,nan,999.0,999.0,999.0,999.0,nan,nan,0.0,nan,999.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,999.0,999.0,0.0,0.0,999.0,,
11,bootstrap,11,11,0,0,2,warmup,0.36961875,0.031625000000000014,0.05,400.0,10,1,"settled reading out of +/-5% (value=377.0000, target=400.0000)",1.0,0.0,invalid_repeat,0.0,two-strike cancellation: invalid_repeat occurred in repeats 1 and 2,14.0,12.333333333333334,12.23924696303748,23.0,2.667500000000004,0.0,0.0,-10.21999999999997,49.95,721.4253600000001,115.43669999999999,410.67,3.9,4.2,0.0,149.7991662222222,-1.1111111111111112,0.0,14.498999999999999,35.45100000000001,4.2,1.5000000000000002,-7.8659999999999854,205.57138399999994,5.884999999999934,0.8,4.0,71.27525538678282,10.810000000000002,16.0
12,bootstrap,12,12,0,0,1,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,0,,0.8571428571428571,0.0,,0.0,,18.0,6.752307692307693,2.8624836459400376,18.0,0.0,0.0,nan,-4.592222222222233,75.75150000000001,578.6930850000002,355.2309,397.0,10.799999999999999,11.7,0.0,8.19381262327417,5.372222222222232,0.0,0.0,75.75150000000001,11.4,3.9000000000000012,-4.640769230769251,0.7417301775147873,0.25238095238091773,1.0,0.0,4.005838572632163,11.189999999999998,18.0
12,bootstrap,12,12,0,0,2,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,0,,0.17857142857142858,0.0,,0.0,,26.0,5.384615384615385,5.703385386349078,26.0,0.25,0.3,6.3,-0.14888888888890506,59.0505,607.7577449999999,161.8821,401.0,10.5,11.400000000000002,0.3,21.811256509695255,8.333333333333334,0.0,0.4484999999999927,58.602000000000004,11.4,3.9000000000000012,-0.38538461538462343,0.5270402366863893,1.039285714285711,1.0,0.0,1.0417582889960615,14.951428571428567,26.0
12,bootstrap,12,12,0,0,3,warmup,0.18538124999999997,0.031625000000000014,0.05,400.0,10,0,,0.07142857142857142,0.0,,-30.474063781710402,,16.329999999999984,3.7517948717948704,3.770564093497012,16.329999999999984,0.582499999999996,0.0,5.4,0.2233333333333576,41.19599999999999,260.60342999999966,137.51279999999994,402.33,9.6,11.7,0.0,14.217153583168946,5.555555555555556,0.0,1.8494999999999997,39.34649999999999,11.4,3.9000000000000012,-0.20461538461535156,2.1449786982248473,1.4771428571428942,1.0,0.0,1.4396773995218473,9.237142857142853,16.329999999999984
13,bootstrap,13,13,0,0,1,warmup,0.27749999999999997,0.031625000000000014,0.08070625000000001,400.0,10,0,,0.17857142857142858,0.0,,0.0,,9.0,2.88025641025641,2.338034992587038,9.0,0.0,0.0,3.3,-1.296666666666681,32.14949999999999,148.60339499999995,132.93540000000002,400.0,7.5,11.7,0.0,5.4664076265614705,2.9611111111111024,0.0,0.0,32.14949999999999,11.4,3.9000000000000012,-1.4615384615384528,0.8110899408283951,0.4830952380951885,1.0,0.0,1.7276172199998567,5.189999999999998,9.0
13,bootstrap,13,13,0,0,2,warmup,0.27749999999999997,0.031625000000000014,0.08070625000000001,400.0,10,0,,0.8571428571428571,0.0,,0.0,,11.329999999999984,6.735384615384617,6.794999902033781,13.0,1.667500000000004,0.0,1.2,-3.258888888888862,75.85500000000002,672.9944100000005,471.3687000000002,406.67,8.7,11.7,0.0,46.172023668639085,0.7388888888888802,0.0,17.60400000000002,58.251,11.4,3.9000000000000012,-3.02538461538461,67.10107100591723,0.564047619047642,1.0,0.0,6.576318488470886,6.810000000000002,11.670000000000016
