trial_index,phase,phase_trial_index,bootstrap_trials_used,optimisation_trials_used,validation_trials_used,test_index,sample_index,time_s,current_power,desired_output,kp,ki,kd,test_invalid,test_note
3,bootstrap,3,3,0,0,2,24,6.8999999999999995,398.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,25,7.199999999999999,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,26,7.5,398.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,27,7.8,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,28,8.1,401.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,29,8.4,400.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,30,8.7,399.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,31,9.0,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,32,9.299999999999999,398.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,33,9.6,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,34,9.9,399.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,35,10.2,400.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,36,10.5,400.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,37,10.799999999999999,399.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,38,11.1,401.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,2,39,11.4,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,1,0.0,368.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,2,0.3,387.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,3,0.6,386.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,4,0.8999999999999999,393.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,5,1.2,396.33,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,6,1.5,398.0,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,7,1.7999999999999998,399.67,400.0,0.016124999999999973,0.14,0.05,0,
3,bootstrap,3,3,0,0,3,8,2.1,400.0,400.0,0.016124999999999973,0.14,0.05,0,
